name,description,price,originalPrice,category,subcategory,rating,reviews,inStock,isNew,isBestseller,colors,sizes,image
Champagne Satin Slip Dress,Elegant champagne gold satin slip dress with cowl neckline. Perfect for evening events and special occasions. Made with premium silk-blend fabric.,4999,6999,dress,evening,4.4,47,Yes,Yes,No,"Champagne, Black, Blush","XS, S, M, L, XL",/images/dress-1.jpg
Powder Pink Blazer Dress,Trendy oversized blazer dress in powder pink with self-tie belt. Modern power dressing for the confident woman.,3999,5499,dress,workwear,4.8,510,Yes,No,No,"Pink, Navy, Black","S, M, L, XL",/images/dress-2.jpg
Emerald Silk Wrap Dress,Stunning emerald green silk wrap dress with flowing silhouette. Elegant cocktail attire that turns heads.,5999,7999,dress,cocktail,4.7,543,Yes,No,No,"Emerald, Ruby, Sapphire","XS, S, M, L, XL, XXL",/images/dress-3.jpg
Dusty Rose Puff Sleeve Dress,Romantic midi dress with puff sleeves in dusty rose. Feminine and flattering for any occasion.,3499,4499,dress,casual,4.9,107,Yes,No,No,"Rose, Lavender, Mint","XS, S, M, L, XL",/images/dress-4.jpg
Classic Black Bodycon Dress,Sleek black bodycon dress that hugs your curves perfectly. A wardrobe essential for every woman.,2999,3999,dress,evening,4.7,559,Yes,Yes,No,"Black, Red, White","XS, S, M, L, XL, XXL",/images/dress-5.jpg
Navy Shirt Dress,Sophisticated navy shirt dress with belt. Perfect for office to evening transitions.,3299,4299,dress,workwear,4.3,565,Yes,No,No,"Navy, White, Khaki","S, M, L, XL",/images/dress-6.jpg
Burgundy Cut-Out Maxi Dress,Dramatic burgundy maxi dress with cut-out details and side slit. Perfect for red carpet moments.,6999,8999,dress,evening,4.7,285,Yes,No,Yes,"Burgundy, Black, Navy","XS, S, M, L, XL",/images/dress-7.jpg
Lavender Pleated Midi Dress,Elegant pleated midi dress in soft lavender. Flowy and comfortable for all-day wear.,3799,4999,dress,casual,4.6,85,Yes,No,No,"Lavender, Peach, Mint","XS, S, M, L, XL",/images/dress-8.jpg
Cream Ribbed Knit Dress,Cozy ribbed knit dress in cream beige. Perfect for casual outings and coffee dates.,2499,3499,dress,casual,4.7,368,Yes,Yes,No,"Cream, Grey, Black","XS, S, M, L, XL, XXL",/images/dress-9.jpg
Coral One-Shoulder Dress,Stunning one-shoulder asymmetric dress in coral orange. Modern and chic for any celebration.,4499,5999,dress,cocktail,4.7,289,Yes,No,No,"Coral, Pink, Red","XS, S, M, L, XL",/images/dress-10.jpg
Peach Tiered Ruffle Maxi,Bohemian-inspired tiered ruffle maxi dress in soft peach. Perfect for beach weddings and summer parties.,4299,5499,dress,boho,4.7,513,Yes,No,No,"Peach, White, Yellow","XS, S, M, L, XL",/images/dress-11.jpg
Silver Sequin Mini Dress,Glamorous silver sequin mini dress for unforgettable party nights. Shine bright like a diamond.,5499,7499,dress,party,4.3,514,Yes,No,No,"Silver, Gold, Rose Gold","XS, S, M, L",/images/dress-12.jpg
White Halter Jumpsuit,Elegant white halter jumpsuit with wide legs. Modern sophistication for special occasions.,4999,6499,dress,jumpsuit,4.4,263,Yes,No,No,"White, Black, Navy","XS, S, M, L, XL",/images/dress-13.jpg
Plum Velvet Slip Dress,Luxurious plum velvet slip dress with cowl neckline. Rich texture for winter celebrations.,5799,7499,dress,evening,4.5,115,Yes,Yes,No,"Plum, Emerald, Burgundy","XS, S, M, L, XL",/images/dress-14.jpg
Navy Polka Dot Dress,Classic navy polka dot midi dress with belt. Timeless elegance never goes out of style.,3299,4299,dress,vintage,4.4,354,Yes,No,Yes,"Navy, Red, Black","XS, S, M, L, XL, XXL",/images/dress-15.jpg
Red Floral Anarkali,Beautiful red floral printed Anarkali suit with dupatta. Traditional Indian ethnic wear for festive occasions.,4599,5999,dress,ethnic,4.7,53,Yes,No,No,"Red, Green, Blue","S, M, L, XL, XXL",/images/dress-16.jpg
Black Velvet Evening Gown,Luxurious black velvet evening gown with sweetheart neckline. Perfect for gala events and formal dinners.,7999,9999,dress,evening,4.9,151,Yes,Yes,No,"Black, Navy, Burgundy","XS, S, M, L, XL",/images/dress-17.jpg
Yellow Cotton Kurti,Bright yellow cotton kurti with white embroidery. Comfortable daily wear with traditional charm.,1999,2999,dress,ethnic,4.4,154,Yes,No,No,"Yellow, Orange, Pink","S, M, L, XL",/images/dress-18.jpg
Teal Wrap Maxi Dress,Flowing teal wrap maxi dress with floral print. Perfect for beach vacations and summer outings.,3799,4999,dress,casual,4.5,260,Yes,No,No,"Teal, Coral, Navy","XS, S, M, L, XL",/images/dress-19.jpg
Pink Embroidered Lehenga,Stunning pink embroidered lehenga with heavy work. Bridal wear for the modern Indian bride.,15999,19999,dress,bridal,4.7,315,Yes,No,No,"Pink, Red, Maroon","S, M, L",/images/dress-20.jpg
Grey Tweed Shift Dress,Classic grey tweed shift dress with pearl buttons. Sophisticated office wear for professionals.,4299,5499,dress,workwear,4.8,97,Yes,No,No,"Grey, Navy, Black","S, M, L, XL",/images/dress-21.jpg
Orange Boho Maxi Dress,Vibrant orange bohemian maxi dress with tassel details. Free-spirited style for music festivals.,3499,4499,dress,boho,4.5,48,Yes,No,No,"Orange, Mustard, Rust","XS, S, M, L, XL",/images/dress-22.jpg
Navy Lace Cocktail Dress,Elegant navy blue lace cocktail dress with scalloped hem. Timeless sophistication for evening events.,5499,6999,dress,cocktail,4.9,210,Yes,No,No,"Navy, Black, Burgundy","XS, S, M, L, XL",/images/dress-23.jpg
Green Silk Saree Gown,Innovative green silk saree-style gown with pre-stitched pleats. Fusion wear for modern women.,6999,8999,dress,ethnic,4.6,54,Yes,No,Yes,"Green, Blue, Purple","S, M, L, XL",/images/dress-24.jpg
White Eyelet Summer Dress,Charming white eyelet cotton summer dress with scalloped edges. Breezy and beautiful for hot days.,2999,3999,dress,casual,4.7,197,Yes,No,No,"White, Lavender, Mint","XS, S, M, L, XL",/images/dress-25.jpg
Maroon Velvet Anarkali,Rich maroon velvet Anarkali with gold zari embroidery. Festive wear for special celebrations.,5999,7999,dress,ethnic,4.6,196,Yes,No,No,"Maroon, Green, Navy","S, M, L, XL, XXL",/images/dress-26.jpg
Blush Pink Tulle Gown,Dreamy blush pink tulle ball gown with floral appliques. Perfect for engagement and reception.,12999,15999,dress,bridal,4.5,85,Yes,Yes,No,"Blush, Ivory, Champagne","XS, S, M, L",/images/dress-27.jpg
Denim Shirt Dress,Trendy denim shirt dress with belt and chest pockets. Casual chic for everyday style.,3299,4299,dress,casual,4.4,150,Yes,No,No,"Denim, Light Blue, Black","XS, S, M, L, XL",/images/dress-28.jpg
Gold Sequin Saree,Dazzling gold sequin saree with designer blouse. Glamorous choice for wedding receptions.,8999,11999,dress,bridal,4.8,203,Yes,Yes,No,"Gold, Silver, Rose Gold","S, M, L",/images/dress-29.jpg
Purple Georgette Gown,Elegant purple georgette gown with cape sleeves. Flowy silhouette for formal occasions.,4999,6499,dress,evening,4.4,226,Yes,Yes,No,"Purple, Wine, Navy","XS, S, M, L, XL",/images/dress-30.jpg
Beige Linen Midi Dress,Sophisticated beige linen midi dress with belt. Breathable fabric for summer office wear.,3999,4999,dress,workwear,4.7,385,Yes,Yes,No,"Beige, White, Navy","S, M, L, XL",/images/dress-31.jpg
Red Bandhani Lehenga,Traditional red bandhani print lehenga with mirror work. Gujarati style for festive occasions.,7499,9499,dress,ethnic,4.7,299,Yes,No,No,"Red, Orange, Green","S, M, L, XL",/images/dress-32.jpg
Black Mesh Party Dress,Sultry black mesh party dress with sequin details. Turn heads at every celebration.,4599,5999,dress,party,4.4,84,Yes,Yes,No,"Black, Red, Gold","XS, S, M, L",/images/dress-33.jpg
Sky Blue Chiffon Saree,Delicate sky blue chiffon saree with silver border. Lightweight and elegant for summer weddings.,3999,4999,dress,ethnic,4.8,516,Yes,No,No,"Sky Blue, Pink, Peach","S, M, L",/images/dress-34.jpg
Olive Green Jumpsuit,Stylish olive green jumpsuit with wide legs and belt. Contemporary fashion for modern women.,4299,5499,dress,jumpsuit,4.8,273,Yes,No,No,"Olive, Black, Navy","XS, S, M, L, XL",/images/dress-35.jpg
Coral Ruffle Mini Dress,Playful coral ruffle mini dress with off-shoulder design. Fun and flirty for parties.,3499,4499,dress,party,4.5,116,Yes,Yes,No,"Coral, Pink, Yellow","XS, S, M, L",/images/dress-36.jpg
Indigo Block Print Kurti,Artisanal indigo block print kurti with palazzo pants. Handcrafted beauty for everyday wear.,2499,3499,dress,ethnic,4.7,454,Yes,No,No,"Indigo, White, Beige","S, M, L, XL",/images/dress-37.jpg
Champagne Lace Gown,Elegant champagne lace mermaid gown with train. Sophisticated choice for formal weddings.,14999,18999,dress,bridal,4.5,73,Yes,No,Yes,"Champagne, Ivory, White","XS, S, M, L",/images/dress-38.jpg
Mustard Yellow Co-ord Set,Trendy mustard yellow co-ord set with crop top and skirt. Fashion-forward casual wear.,3999,4999,dress,casual,4.4,316,Yes,No,No,"Mustard, Rust, Olive","XS, S, M, L, XL",/images/dress-39.jpg
Royal Blue Silk Gown,Majestic royal blue silk gown with draped bodice. Regal elegance for special occasions.,6999,8999,dress,evening,4.5,366,Yes,No,Yes,"Royal Blue, Emerald, Purple","XS, S, M, L, XL",/images/dress-40.jpg
Peach Chikankari Suit,Delicate peach chikankari embroidered suit with dupatta. Lucknowi craftsmanship at its finest.,4999,6499,dress,ethnic,4.4,239,Yes,No,No,"Peach, Mint, Lavender","S, M, L, XL",/images/dress-41.jpg
Black Satin Slip Dress,Classic black satin slip dress with lace trim. Versatile piece for day to night.,3299,4299,dress,evening,4.3,246,Yes,No,No,"Black, Red, Navy","XS, S, M, L, XL",/images/dress-42.jpg
Turquoise Kaftan Dress,Flowing turquoise kaftan dress with gold embroidery. Resort wear for beach vacations.,4499,5999,dress,boho,4.7,383,Yes,No,No,"Turquoise, Coral, White","S, M, L, XL",/images/dress-43.jpg
Burgundy Sharara Suit,Elegant burgundy sharara suit with heavy embroidery. Pakistani style for festive occasions.,5999,7999,dress,ethnic,4.4,352,Yes,No,No,"Burgundy, Green, Navy","S, M, L, XL",/images/dress-44.jpg
Ivory Pleated Midi Dress,Sophisticated ivory pleated midi dress with bow tie. Professional yet feminine.,4299,5499,dress,workwear,4.5,347,Yes,No,No,"Ivory, Navy, Black","S, M, L, XL",/images/dress-45.jpg
Hot Pink Bandage Dress,Figure-hugging hot pink bandage dress with cut-outs. Bold statement for club nights.,4999,6499,dress,party,4.7,433,Yes,No,Yes,"Hot Pink, Red, Black","XS, S, M, L",/images/dress-46.jpg
Sea Green Anarkali Gown,Ethereal sea green Anarkali gown with silver embroidery. Flowy and graceful for weddings.,6999,8999,dress,ethnic,4.7,353,Yes,No,No,"Sea Green, Lavender, Peach","S, M, L, XL",/images/dress-47.jpg
Charcoal Wrap Dress,Elegant charcoal wrap dress with abstract print. Versatile piece for office and beyond.,3799,4799,dress,workwear,4.5,260,Yes,No,No,"Charcoal, Navy, Black","S, M, L, XL",/images/dress-48.jpg
Gold Brocade Lehenga,Opulent gold brocade lehenga with red dupatta. Traditional bridal wear for Indian weddings.,18999,23999,dress,bridal,4.7,521,Yes,No,No,"Gold, Red, Maroon","S, M, L",/images/dress-49.jpg
Magenta Silk Saree,Elegant magenta silk saree with gold zari border. Traditional South Indian style for weddings.,5999,7999,dress,ethnic,4.6,218,Yes,No,No,"Magenta, Purple, Pink","S, M, L",/images/dress-50.jpg
Diamond Tennis Bracelet,Exquisite diamond tennis bracelet in white gold setting. Timeless luxury for every occasion.,89999,119999,jewelry,bracelet,4.7,388,Yes,No,Yes,"White Gold, Yellow Gold, Rose Gold",,/images/jewelry-1.jpg
Gold Pearl Hoop Earrings,Elegant gold hoop earrings with freshwater pearl drops. Modern meets classic beautifully.,4999,6999,jewelry,earrings,4.4,362,Yes,No,No,"Gold, Silver",,/images/jewelry-2.jpg
Sapphire Halo Ring,Stunning sapphire ring with diamond halo in platinum setting. A piece to treasure forever.,45999,59999,jewelry,ring,4.3,295,Yes,Yes,No,"Platinum, White Gold","5, 6, 7, 8, 9",/images/jewelry-3.jpg
Gold Heart Pendant Necklace,Delicate gold chain with dainty heart pendant. Perfect for everyday wear or layering.,2999,3999,jewelry,necklace,4.8,511,Yes,No,No,"Gold, Rose Gold, Silver",,/images/jewelry-4.jpg
Emerald Drop Earrings,Luxurious emerald drop earrings with diamond accents in gold setting. Red carpet ready.,24999,32999,jewelry,earrings,4.4,438,Yes,No,No,Gold,,/images/jewelry-5.jpg
Rose Gold Geometric Cuff,Modern geometric cuff bracelet in rose gold. Bold statement piece for the fashion-forward.,5999,7999,jewelry,bracelet,4.7,50,Yes,Yes,Yes,"Rose Gold, Gold, Silver",,/images/jewelry-6.jpg
Classic Pearl Strand Necklace,Timeless pearl strand necklace with gold clasp. Elegance that transcends generations.,12999,16999,jewelry,necklace,4.8,480,Yes,No,No,"White, Cream, Pink",,/images/jewelry-7.jpg
Stackable Gold Rings Set,Set of three stackable gold rings in different textures. Mix and match for endless styles.,3999,5499,jewelry,ring,4.7,520,Yes,No,No,"Gold, Rose Gold, Silver","5, 6, 7, 8, 9",/images/jewelry-8.jpg
Amethyst Cocktail Ring,Bold amethyst cocktail ring in silver setting. Make a statement at your next event.,8999,11999,jewelry,ring,4.8,512,Yes,No,No,Silver,"6, 7, 8, 9",/images/jewelry-9.jpg
Celestial Charm Anklet,Delicate gold anklet with star and moon charms. Add a touch of magic to your look.,1999,2999,jewelry,anklet,4.6,369,Yes,Yes,Yes,"Gold, Silver",,/images/jewelry-10.jpg
Diamond Choker Necklace,Elegant diamond choker necklace in gold setting. Sophisticated glamour for special occasions.,34999,44999,jewelry,necklace,4.7,561,Yes,No,Yes,"Gold, White Gold",,/images/jewelry-11.jpg
Crystal Drop Earrings,Sparkling crystal drop earrings in silver setting. Perfect for adding glamour to any outfit.,3499,4999,jewelry,earrings,4.6,207,Yes,No,No,"Silver, Gold",,/images/jewelry-12.jpg
Gold Mangalsutra Black Beads,Traditional gold mangalsutra with black beads and vati pendant. Symbol of married life.,12999,16999,jewelry,necklace,4.5,298,Yes,Yes,No,Gold,,/images/jewelry-13.jpg
Diamond Stud Earrings,Classic round diamond stud earrings in 18k gold setting. Everyday luxury.,24999,32999,jewelry,earrings,4.8,541,Yes,No,No,"White Gold, Yellow Gold",,/images/jewelry-14.jpg
Ruby Gold Bangle Set,Set of 4 gold bangles with ruby accents. Traditional Indian bridal jewelry.,19999,25999,jewelry,bracelet,4.3,337,Yes,No,No,Gold,,/images/jewelry-15.jpg
Silver Chain Link Necklace,Modern silver chain link necklace. Contemporary design for everyday wear.,4999,6999,jewelry,necklace,4.8,127,Yes,No,No,Silver,,/images/jewelry-16.jpg
Pearl Drop Earrings,Elegant freshwater pearl drop earrings with gold hooks. Timeless sophistication.,3999,5499,jewelry,earrings,4.7,264,Yes,No,No,"Gold, Silver",,/images/jewelry-17.jpg
Antique Gold Jhumka,Traditional South Indian jhumka earrings with pearl drops. Temple jewelry design.,8999,11999,jewelry,earrings,4.6,470,Yes,No,No,Gold,,/images/jewelry-18.jpg
